原文	译文
中文	英文
foobar	foobar
null	Calibri
 -~ 一-龥 。，！？ -~^<>*	 -~^<>*
一-龥0-z^<>*	A-Za-z 0-9
OnePiece?Online?2:?Pirate?King	OnePiece?Online?2:?Pirate?King
连接服务器......	Connecting to server...
登陆服务器......	Logging in...
登陆失败,请刷新重试......	Login failed, please refresh and try again...
加载游戏资源......	Loading game resources...
加载游戏数据......	Loading game data...
加载模块中......	Loading modules...
如果你是第一次打开游戏，加载文件可能会比较大，请耐心等待	The game is preparing your great adventure. Please wait patiently.
正在加载战场背景......	Loading battle scenes...
正在初始化战场......	Initializing battleground...
正在解析战斗数据......	Analyzing battle data...
正在加载图片资源......	Loading picture resources...
正在加载图片资源...... 已完成({0}/{1})	Loading picture resources... ({0}/{1}) Complete
您已掉线，请重新登录游戏	Disconnected. Please log in again.
角色创建失败	Character creation failure
该功能未开放	Function not available
开放阶段已达上限	Cap reached
该功能尚未开启	Function not activated
对方拒绝了你的挑战请求	Challenge has been denied
当前不能转职	Class not change.
对不起，您的数据异常，请爱护游戏环境，公平游戏。	Your data is abnormal! Please protect in-game environment and play fairly.
您的网络不稳定，请刷新后重试	Your network connection is not stable, please refresh and try again.
转职成功，刷新后生效	Successfully change class, please refresh to take effect.
改名成功，刷新后成效	Successfully change name, please refresh to take effect.
名字不能为空	Name cannot empty.
战役配置数据不存在	Battle configuration data doesn't exist.
船员配置数据不存在	Crew configuration data doesn't exist.
道具配置数据不存在	Item configuration data doesn't exist.
战船配置数据不存在	Ship configuration data doesn't exist.
装备精炼配置数据不存在	Gear Polish configuration data doesn't exist.
装备刻印配置数据不存在	Gear Imprint configuration data doesn't exist.
您的等级不足	Level too low
您的贝利不足	Not enough Beli
您的点券不足	Not enough Coupon
您的钻石不足	Not enough Diamonds
您的行动力不足	Not enough Vitality
您的贡献不足	Not enough Contribution
您的道具数量不足	Not enough Items
您的知名度不足	Not enough Fame
您的勋章不足	Not enough Medal
活动未开始	Event Not Yet Begins
称号不存在	Title Not Available
不能转职	Title Not Change
您的历练值不足	Not enough Study Point
您的精魂不足	Not enough Spirit
你的贝壳点数不足	Not enough Shell Point
船件积分不够	Not enough Ship Part Point
节日积分不足	Points Not Enough
雪球不足	Not?enough?Snowballs
充值未开放，敬请期待	Top-Up not available yet. Please stay tuned.
您的VIP等级不足	VIP level too low
VIP等级礼包已领取	VIP Giftpack claimed
购买行动力次数已达上限，提升VIP等级可以获得更多购买行动力次数，是否前去提升VIP等级？	Vitality purchase cap reached. Upgrade your VIP to buy more vitality. Do it now?
贝利树使用次数已达上限，提升VIP等级可以获得更多贝利树使用次数，是否前去提升VIP等级？	Max Beli Tree access reached. Upgrade your VIP to access Beli Tree for more times. Do it now?
购买行动力次数已达上限	Vitality purchase cap reached
贝利树使用次数已达上限	Max Beli Tree access reached
【VIP1级】将会开放【一键探索】，是否前去提升VIP等级？	"VIP 1" can enjoy "Auto Explore". Upgrade to VIP now?
【VIP3级】将会开放【一键钓鱼】，是否前去提升VIP等级？	"VIP 3" can enjoy "One-click Fishing". Upgrade to VIP now?
